,0
BoomtownRats,"The discography of Irish new wave group The Boomtown Rats consists of six studio albums, five compilation albums, 20 singles and three video albums. The Boomtown Rats' debut release was the 1977 single ""Lookin' After No. 1"" which was originally written by singer and leader Bob Geldof in 1975 while waiting for his local unemployment office to open in his native Dun Laoghaire then a major port an ho"
Boston,"Boston is an American rock band from Boston, Massachusetts, which had its most notable successes during the 1970s and 1980s. Centered on multi-instrumentalist founder and leader Tom Scholz, who played the majority of instruments on the debut album, and lead vocalist Brad Delp, the band is a staple of classic rock. Boston's best-known songs include ""More Than a Feeling"", ""Peace of Mind"", ""Foreplay/"
Boxtops,"The Box Tops is an American rock band, formed in Memphis in 1967. They are best known for the hits ""The Letter"", ""Cry Like a Baby"", and ""Soul Deep"" and are considered a major blue-eyed soul group of the period. They performed a mixture of current soul music songs by artists such as James & Bobby Purify and Clifford Curry; pop tunes such as ""A Whiter Shade of Pale"" by Keith Reid, Gary Brooker, and "
BozScaggs,"William Royce ""Boz"" Scaggs (born June 8, 1944) is an American singer, songwriter, and guitarist. He became prominent for his series of albums in the late 1970s, and songs ""Lido Shuffle"" and ""Lowdown"" from Silk Degrees (1976), which peaked at No. 2 on the Billboard 200. Scaggs continues to write, record music, and tour.


== Early life and career ==
Scaggs was born in Canton, Ohio, the eldest child"
Bread,"Basket of Bread (1945) or Basket of Bread-Rather Death Than Shame is a painting by Spanish Surrealist Salvador Dalí. The painting depicts a heel of a loaf bread in a basket, sitting near the edge of a table.  Dalí used of bread in his paintings, which are said to contain messages about the political context at the time of the painting, his progression as an artist and his societal beliefs. 


== P"
BrewerAndShipley,"Brewer & Shipley are an American folk rock duo who enjoyed their peak success in the late 1960s through the 1970s, consisting of singer-songwriters Mike Brewer (born in 1944) and Tom Shipley (born in 1941). They were known for their intricate guitar work, vocal harmonies, and socially conscious lyrics which reflected the concerns of their generation — especially the Vietnam War, and the struggles "
BrianHyland,"Brian Hyland (born November 12, 1943) is an American pop singer and instrumentalist who was particularly successful during the early 1960s.  He continued recording into the 1970s. Allmusic journalist Jason Ankeny says ""Hyland's puppy-love pop virtually defined the sound and sensibility of bubblegum during the pre-Beatles era."" Although his status as a teen idol faded, he went on to release several"
BrownsvilleStation,"Brownsville Station is an American rock band from Michigan that was popular in the 1970s. Original members included Cub Koda (guitarist/vocalist), Mike Lutz (guitarist/vocalist), T.J. Cronley (drummer), and Tony Driggins (bassist/vocals). Later members included Henry ""H-Bomb"" Weck (drummer) and Bruce Nazarian (guitarist/vocalist).
They are remembered for the top-10 hit single ""Smokin' in the Boys "
BruceHornsby,"Bruce Randall Hornsby (born November 23, 1954) is an American singer-songwriter and pianist. He draws frequently from classical, jazz, bluegrass, folk, Motown, gospel, rock, blues, and jam band musical traditions.
Hornsby's recordings have been recognized on a number of occasions with industry awards, including the 1987 Grammy Award for Best New Artist with Bruce Hornsby and the Range, the 1990 Gr"
BruceSpringsteen,"This is the discography of Bruce Springsteen, an American songwriter, singer and musician. Springsteen has released records steadily since 1973, and is widely known for his brand of heartland rock infused with pop hooks, poetic lyrics, and Americana sentiments centered on his native New Jersey. The E Street Band have been Springsteen's primary backing band since 1972 and have appeared on a majorit"
Buckinghams,"The Buckinghams are an American sunshine pop band from Chicago, Illinois, United States. They formed in 1966 and went on to become one of the top selling acts of 1967, charting their only five top 40 hits in the U.S. that year. The band dissolved in 1970, but re-formed in 1980 and as of 2019 they continue to tour throughout the United States.


== History ==
In 1965, guitarists Carl Giammarese and"
BuddyHolly,"Charles Hardin Holley (September 7, 1936 – February 3, 1959), known professionally as Buddy Holly, was an American musician and singer-songwriter who was a central and pioneering figure of mid-1950s rock and roll. He was born in Lubbock, Texas, to a musical family during the Great Depression, and learned to play guitar and sing alongside his siblings. His style was influenced by gospel music, coun"
BuffaloSpringfield,"Buffalo Springfield was a North American rock band active from 1966 to 1968 whose most prominent members were Stephen Stills, Neil Young, and Richie Furay. The group released three albums and several singles during its brief existence, including ""For What It's Worth"". The band combined elements of folk and country music with British invasion and psychedelic-rock influences, and, along with the Byr"
CandiStaton,"Canzetta Maria ""Candi"" Staton (, STAY-tən) (born March 13, 1940) is an American singer–songwriter, best known in the United States for her 1970 remake of Tammy Wynette's ""Stand By Your Man"" and her 1976 disco chart-topper ""Young Hearts Run Free"". In Europe, Staton's biggest selling record is the anthemic ""You Got the Love"" from 1986, released in collaboration with the Source. Staton was inducted i"
CannedHeat,"Canned Heat is an American rock band that was formed in Los Angeles in 1965. The group has been noted for its interpretations of blues material and for its efforts to promote interest in this type of music and its original artists. It was launched by two blues enthusiasts Alan Wilson and Bob Hite, who took the name from Tommy Johnson's 1928 ""Canned Heat Blues"", a song about an alcoholic who had de"
CaptainAndTenille,"Captain & Tennille were American recording artists whose primary success occurred in the 1970s. The husband-and-wife team were ""Captain"" Daryl Dragon (August 27, 1942 – January 2, 2019) and Toni Tennille (born May 8, 1940). They have five albums certified gold or platinum and scored numerous hits on the US singles charts, the most enduring of which included ""Love Will Keep Us Together"", ""Do That t"
CarlDouglas,"Carlton George Douglas (born 10 May 1942), is a Jamaican singer-songwriter and recording artist who is best known for the 1974 disco single ""Kung Fu Fighting"".


== Early life ==
Douglas was born as Carlton George Douglas on 10 May 1942 in Kingston, Jamaica, to Jamaican parents. After his grandmother died, his family relocated to the United Kingdom. He spent his childhood in England playing footba"
CarlySimon,"Carly Elisabeth Simon (born June 25, 1945) is an American singer-songwriter, musician, and children's author. She first rose to fame in the 1970s with a string of hit records; her 13 Top 40 U.S. hits include ""Anticipation"" (No. 13), ""You Belong to Me"" (No. 6), ""Coming Around Again"" (No. 18), and her four Gold certified singles ""Jesse"" (No. 11), ""Mockingbird"" (No. 5, a duet with James Taylor), ""You"
CaroleKing,"This is a list of albums and singles recorded by Carole King. She has had three number one albums and seven top 10 albums.


== Albums ==


=== Studio albums ===


=== Soundtracks ===


=== Live albums ===


=== Holiday albums ===


=== Compilation albums ===


=== As member of a band ===


=== Deluxe Editions ===


=== Tribute albums ===


== Singles ==
NotesA^ A specific release date is often no"
CatStevens,"Yusuf Islam (born Steven Demetre Georgiou; 21 July 1948), commonly known by his stage name Cat Stevens, and later Yusuf and eventually Yusuf/Cat Stevens, is a British singer-songwriter and multi-instrumentalist. His musical style consists of folk, pop, rock, and, in his later career,   Islamic music. He was inducted into the Rock and Roll Hall of Fame in 2014.His 1967 debut album and its title son"
